Alabama,0.0,AL
Alaska,0.0,AK
Arizona,24.513,AZ
Arkansas,0.0,AR
California,55.868,CA
Colorado,55.391000000000005,CO
Connecticut,39.096,CT
Delaware,0.0,DE
District of Columbia,134.78578578578578,DC
Florida,30.284000000000002,FL
Georgia,0.0,GA
Hawaii,0.0,HI
Idaho,0.0,ID
Illnois,0.0,IL
Indiana,19.346,IN
Iowa,25.43143143143143,IA
Kansas,0.0,KS
Kentucky,0.0,KY
Louisiana,0.0,LA
Maine,0.0,ME
Maryland,22.872745490981966,MD
Massachusetts,0.0,MA
Michigan,99.43700000000001,MI
Minnesota,81.232,MN
Mississippi,0.0,MS
Missouri,0.0,MO
Montana,0.0,MT
Nebraska,0.0,NE
Nevada,0.0,NV
New Hampshire,0.0,NH
New Jersey,102.54799999999999,NJ
New Mexico,0.0,NM
New York,0.0,NY
North Carolina,25.921999999999997,NC
North Dakota,0.0,ND
Ohio,27.904904904904903,OH
Oklahoma,51.99,OK
Oregon,31.963963963963966,OR
Pennsylvania,0.0,PA
Rhode Island,0.0,RI
South Carolina,0.0,SC
South Dakota,0.0,SD
Tennessee,0.0,TN
Texas,106.915,TX
Utah,0.0,UT
Vermont,0.0,VT
Virginia,18.496,VA
Washington,0.0,WA
West Virginia,0.0,WV
Wisconsin,71.57157157157155,WI
Wyoming,0.0,WY
